# EPOCH_SEC  ENERGY_J  POWER_W
1484597254.466089 940716.000000 132.670000
1484597254.583801 940716.000000 132.960000
1484597254.688348 940716.000000 134.190000
1484597254.792809 940716.000000 133.860000
1484597254.912940 940716.000000 133.530000
1484597255.017445 940716.000000 134.090000
1484597255.121943 940716.000000 133.280000
1484597255.236332 940716.000000 133.610000
1484597255.340946 940716.000000 133.570000
1484597255.445424 940716.000000 133.360000
1484597255.563480 940716.000000 133.790000
1484597255.668464 940716.000000 133.490000
1484597255.772947 940716.000000 133.270000
1484597255.892359 940716.000000 133.430000
1484597255.996823 940716.000000 133.350000
1484597256.101278 940716.000000 134.150000
1484597256.216096 940716.000000 133.050000
1484597256.320706 940716.000000 133.110000
1484597256.425195 940716.000000 133.490000
1484597256.543443 940716.000000 133.100000
1484597256.647947 940716.000000 133.330000
1484597256.752468 940716.000000 133.250000
1484597256.872131 940716.000000 133.250000
1484597256.976697 940716.000000 133.500000
1484597257.081196 940716.000000 133.190000
1484597257.196016 940716.000000 132.910000
1484597257.300578 940716.000000 133.220000
1484597257.405091 940716.000000 133.560000
1484597257.523346 940716.000000 133.310000
1484597257.627826 940716.000000 133.580000
1484597257.732344 940716.000000 132.860000
1484597257.852080 940716.000000 133.330000
1484597257.956554 940716.000000 132.710000
1484597258.066085 940716.000000 132.930000
1484597258.183817 940716.000000 132.820000
1484597258.288346 940716.000000 132.850000
1484597258.392822 940716.000000 133.340000
1484597258.512319 940716.000000 133.120000
1484597258.619693 940716.000000 133.150000
1484597258.724203 940716.000000 133.090000
1484597258.842908 940716.000000 132.660000
1484597258.947313 940716.000000 132.750000
1484597259.051819 940716.000000 133.030000
1484597259.166311 940716.000000 133.050000
1484597259.270819 940716.000000 133.010000
1484597259.375346 940716.000000 132.690000
1484597259.493484 940716.000000 133.820000
1484597259.597951 940716.000000 133.700000
1484597259.702578 940716.000000 133.150000
1484597259.822205 940716.000000 133.050000
1484597259.926687 940716.000000 132.770000
1484597260.031200 940716.000000 133.110000
1484597260.146037 940716.000000 132.600000
1484597260.250552 940716.000000 132.960000
1484597260.355088 940716.000000 132.840000
1484597260.473285 940716.000000 133.210000
1484597260.577825 940716.000000 133.620000
1484597260.682347 940716.000000 132.720000
1484597260.802083 940716.000000 133.400000
1484597260.906553 940716.000000 133.080000
1484597261.011089 940716.000000 132.790000
1484597261.131496 940716.000000 133.010000
1484597261.235908 940716.000000 133.460000
1484597261.340441 940716.000000 132.720000
1484597261.455680 940716.000000 133.310000
1484597261.565084 940716.000000 133.230000
1484597261.669688 940716.000000 133.080000
1484597261.785406 940716.000000 133.350000
1484597261.889947 940716.000000 132.670000
1484597261.994472 940716.000000 132.520000
1484597262.113093 940716.000000 133.010000
1484597262.217553 940716.000000 133.070000
1484597262.322090 940716.000000 132.820000
1484597262.441971 940716.000000 133.090000
1484597262.546473 940716.000000 133.280000
1484597262.651090 940716.000000 133.050000
1484597262.771513 940716.000000 133.430000
1484597262.876090 940716.000000 133.240000
1484597262.980654 940716.000000 132.830000
1484597263.095821 940716.000000 132.850000
1484597263.200466 940716.000000 133.580000
1484597263.304949 940716.000000 132.950000
1484597263.423320 940716.000000 132.740000
1484597263.527826 940716.000000 133.850000
1484597263.632348 940716.000000 133.750000
1484597263.752089 940716.000000 133.100000
1484597263.856551 940716.000000 133.160000
1484597263.969200 940716.000000 133.310000
1484597264.085115 940716.000000 132.950000
1484597264.189701 940716.000000 133.070000
1484597264.294201 940716.000000 133.590000
1484597264.412905 940716.000000 133.330000
1484597264.517473 940716.000000 133.370000
1484597264.621948 940716.000000 133.430000
1484597264.741896 940716.000000 132.980000
1484597264.846433 940716.000000 133.140000
1484597264.950948 940716.000000 132.760000
1484597265.071470 940716.000000 133.330000
1484597265.175949 940716.000000 133.090000
1484597265.280575 940716.000000 133.000000
1484597265.395770 940716.000000 133.200000
1484597265.500345 940716.000000 133.510000
1484597265.604829 940716.000000 133.860000
1484597265.723240 940716.000000 133.120000
1484597265.827704 940716.000000 132.890000
1484597265.932197 940716.000000 133.140000
1484597266.052028 940716.000000 132.780000
1484597266.156586 940716.000000 132.800000
1484597266.266090 940716.000000 133.430000
1484597266.383800 940716.000000 133.290000
1484597266.488355 940716.000000 133.010000
1484597266.592825 940716.000000 133.830000
1484597266.712307 940716.000000 133.490000
1484597266.816839 940716.000000 133.420000
1484597266.921349 940716.000000 132.770000
1484597267.036119 940716.000000 132.810000
1484597267.140711 940716.000000 132.700000
1484597267.245207 940716.000000 132.890000
1484597267.363429 940716.000000 132.900000
1484597267.468472 940716.000000 133.720000
